Proteins,p_value ,q-value L166P(1&2)/WT,FC
AGO2,2.42253,0.124594,-0.983271
AGO3,0.160834,0.822574,-0.102654
AGPAT1,1.14278,0.0658574,-1.98691
AGPAT2,0.962758,0.402092,0.393693
AGPAT3,1.53092,0.0635882,-1.70404
AGPAT5,0.626959,0.393341,-0.443509
AGPS,1.04664,0.429956,0.353998
AGR2,4.429,0.0161678,1.78601
AGRN,3.88481,0.0725094,1.14635
AGTPBP1,1.85522,0.19919,0.737849
AGTRAP,0.847388,0.357698,0.478462
AHCTF1,0.641519,0.607886,-0.215034
AHCY,4.40655,0.0543557,1.24129
AHCYL1,0.485899,0.801488,-0.10052
AHCYL2,0.44346,0.500703,0.33486
AHDC1,0.156575,0.794788,-0.124183
AHNAK,0.0166123,0.987375,0.00639829
AHNAK2,1.03543,0.433146,0.350158
AHR,3.26843,0.0323139,-1.6079
AHRR,1.86096,0.0902994,1.27243
AHSA1,1.67114,0.247316,-0.615209
AIDA,1.08879,0.307469,-0.53335
AIFM1,2.15226,0.328568,0.44309
AIFM2,0.943304,0.105391,-1.66554
AIMP1,0.440007,0.505407,-0.3307
AIMP2,0.90051,0.497492,-0.295437
AIP,1.01064,0.308497,0.541895
AJM1,2.67263,0.0327091,1.70534
AJUBA,1.27691,0.158193,1.00623
AK1,2.04635,0.170697,0.819253
AK2,3.18374,0.12803,0.914498
AK3,0.183387,0.898155,0.0544551
AK4,1.8673,0.0986676,1.21584
AK5,1.13092,0.365792,-0.429529
AK6,2.85788,0.129316,0.919511
AKAP1,0.385494,0.365026,0.622808
AKAP10,1.92643,0.243495,0.608
AKAP11,1.85087,0.234434,-0.636282
AKAP12,0.91978,0.497443,0.293078
AKAP13,0.920864,0.480148,0.308076
AKAP17A,3.57685,0.029953,-1.57579
AKAP2,4.70788,0.00479913,2.49197
AKAP7,0.726316,0.305593,-0.59923
AKAP8,0.167077,0.76685,0.146461
AKAP8L,0.0586767,0.956172,0.0245609
AKAP9,2.10569,0.312408,0.469685
AKIRIN2,2.52977,0.025277,1.90283
AKR1A1,1.1733,0.476072,-0.30425
AKR1B1,0.561695,0.442956,-0.392124
AKR1C3,0.121099,0.783828,-0.145901
AKR7A2,0.23722,0.824345,0.094494
AKT1,2.58278,0.186301,-0.728459
AKT1S1,2.8879,0.0102996,2.40795
AKT2,3.05791,0.0299807,-1.68707
AKT3,1.29778,0.165417,-0.961775
AKTIP,0.750825,0.280294,-0.671698
ALAD,2.09887,0.271369,-0.540922
ALCAM,2.05764,0.216832,-0.670234
ALDH16A1,0.0899127,0.89831,0.0599664
ALDH18A1,2.79502,0.296912,0.47802
ALDH1A1,3.70782,0.0663674,1.20855
ALDH1A2,2.76477,0.148027,0.855947
ALDH1A3,4.74213,0.00357471,3.19149
ALDH1B1,4.11215,0.014541,1.89668
ALDH1L2,3.77636,0.00702865,-2.30083
ALDH2,2.49373,0.162633,-0.816103
ALDH3A1,2.22533,0.00878634,3.01189
ALDH3A2,2.66551,0.013932,-2.28716
ALDH3B1,1.05042,0.387887,0.403542
ALDH4A1,2.59463,0.104591,1.05666
ALDH5A1,3.99779,0.0141726,1.90218
ALDH6A1,3.48764,0.152821,-0.801671
ALDH7A1,2.69941,0.311373,-0.456791
ALDH9A1,1.70056,0.0761436,1.47091
ALDOA,0.524659,0.742189,0.1343
ALDOC,0.656122,0.611993,-0.214953
ALG1,2.55399,0.264335,-0.540247
ALG12,0.671173,0.296065,-0.653958
ALG13,2.10373,0.0610958,-1.48386
ALG14,1.99044,0.0390191,-1.84869
ALG2,0.0191003,0.976462,0.0136933
ALG5,1.73864,0.228882,-0.657961
ALG9,0.591308,0.461706,-0.370437
ALKBH1,2.37787,0.175446,0.775215
ALKBH3,2.45658,0.127239,0.968511
ALKBH4,0.208931,0.865073,0.071894
ALKBH5,0.896776,0.279141,0.626624
ALKBH7,2.71494,0.0457813,1.50046
ALMS1,1.81365,0.199703,0.73986
ALPK2,3.61767,0.00187324,3.93157
ALPL,0.330285,0.824441,0.0940267
ALS2,2.83157,0.342829,0.411314
ALS2CL,2.13286,0.0460385,1.60689
ALYREF,0.982304,0.296039,-0.571273
AMACR,2.09462,0.0236336,2.15507
AMBRA1,1.37743,0.647521,0.175363
AMDHD2,0.273005,0.445743,0.543813
AMER1,1.89316,0.178285,0.809656
AMFR,2.74031,0.0710448,1.26774
AMIGO2,4.50146,0.00211111,3.48089
AMMECR1,1.14048,0.376473,0.414922
AMMECR1L,1.74108,0.170845,-0.854319
AMN1,0.539752,0.544756,-0.273837
AMOT,2.49461,0.0278898,1.85222
AMOTL1,0.403881,0.410927,-0.507873
AMOTL2,2.83834,0.00655,2.73573
AMPD2,1.40337,0.301203,0.520342
AMPD3,3.99841,0.0128233,1.9732
AMPH,1.8708,0.293625,-0.509335
AMZ2,2.80329,0.0459639,-1.49498
ANAPC1,1.31642,0.123231,-1.21865
ANAPC10,1.68887,0.0283444,-2.31125
ANAPC16,2.62325,0.127707,0.955569
ANAPC2,2.32579,0.19631,-0.716869
ANAPC4,0.890526,0.275843,-0.639726
ANAPC5,2.14068,0.192933,-0.739239
ANAPC7,0.838322,0.494438,-0.299666
ANGEL2,0.386734,0.696567,-0.170043
ANGPTL2,0.630309,0.66495,-0.177193
ANK1,4.15912,0.131149,0.85943
ANK2,4.91558,0.0910278,1.00739
ANK3,3.35864,0.0215961,1.77579
ANKFY1,0.744937,0.426934,-0.386292
ANKH,2.05281,0.0203033,-2.30016
ANKHD1,0.630013,0.619586,-0.216874
ANKIB1,0.749084,0.527346,0.275496
ANKLE2,3.16559,0.0119807,2.18844
ANKMY2,2.53641,0.0499753,-1.49759
ANKRD11,0.348114,0.643286,-0.212799
ANKRD13A,0.794655,0.489568,-0.307913
ANKRD13D,0.972709,0.210901,0.842275
ANKRD17,2.3164,0.24407,-0.58933
ANKRD2,3.44733,0.00328155,3.73666
ANKRD26,2.81743,0.0252357,-1.83805
ANKRD27,1.01376,0.0815102,1.88802
ANKRD28,0.762249,0.635519,-0.191773
ANKRD30B,2.93399,0.0487056,-1.4358
ANKRD34A,5.08893,0.00387302,2.80299
ANKRD35,3.20587,0.0459043,1.42849
ANKRD39,1.44358,0.214269,-0.732033
ANKRD40,0.178665,0.714522,0.189369
ANKRD44,1.92622,0.372094,0.392298
ANKRD49,0.255683,0.77346,0.132022
ANKRD50,2.1481,0.328098,0.443292
ANKRD52,1.31184,0.290958,0.547977
ANKRD54,1.1442,0.34628,0.459563
ANKRD66,0.422059,0.178295,-2.16516
ANKS1A,2.69391,0.18122,0.738503
ANKS3,0.651878,0.49319,0.31405
ANKZF1,1.90523,0.25321,0.586296
ANLN,3.15516,0.00501509,2.90717
ANO10,1.84824,0.0870439,-1.31793
ANO6,1.77366,0.229258,-0.653831
ANO8,2.31785,0.128515,0.977833
ANP32A,1.26282,0.317562,-0.498814
ANP32B,1.52752,0.0484904,-1.90389
ANP32E,0.690353,0.281909,0.680777
ANPEP,4.96028,0.00606006,-2.20739
ANTXR1,0.536102,0.432547,0.40299
ANTXR2,3.12864,0.0400161,-1.49944
ANXA1,3.28609,0.118817,0.949607
ANXA11,1.36896,0.38196,0.395975
ANXA2,2.80143,0.189954,0.709661
ANXA3,7.67069,0,3.90917
ANXA4,1.56003,0.29134,0.528715
ANXA5,2.77897,0.155755,-0.826784
ANXA6,0.0933501,0.928362,-0.0399391
ANXA7,0.906851,0.565158,0.237825
AP1AR,3.1476,0.0155387,2.05694
AP1B1,0.518412,0.464109,-0.374696
AP1G1,0.100841,0.81272,0.137166
AP1G2,1.89715,0.246912,-0.602006
AP1M1,1.03899,0.340235,-0.478124
AP1S1,0.434092,0.587231,0.247984
AP1S2,2.26426,0.125242,0.995651
AP1S3,2.91797,0.0512747,1.41206
AP2A1,0.807236,0.505342,-0.292047
AP2A2,1.71959,0.326422,-0.458732
AP2B1,2.37162,0.0865321,-1.21439
AP2M1,2.00731,0.299076,0.494459
AP2S1,1.13987,0.275847,-0.595162
AP3B1,2.10895,0.026373,-2.06114
AP3B2,1.99635,0.0146566,-2.69307
AP3D1,0.688825,0.177436,-1.24037
AP3M1,1.21809,0.366954,-0.421969
AP3M2,0.0997116,0.937363,0.0343306
AP3S1,1.20248,0.299036,0.540516
AP4B1,1.1244,0.109549,-1.43624
AP4E1,1.81094,0.162149,-0.885381
AP4M1,2.31353,0.198719,0.7073
AP4S1,1.6572,0.276283,0.550801
AP5B1,2.67325,0.0684634,-1.30791
AP5M1,0.475937,0.713888,-0.153443
AP5S1,2.19473,0.265746,0.549051
AP5Z1,1.56542,0.732841,0.1297
APAF1,3.33095,0.0146507,-2.02798
APBA1,1.1287,0.568198,0.230762
APBA2,3.6153,0.00922965,2.19149
APBA3,2.99723,0.0317236,1.64214
APBB1,0.334899,0.458102,0.452141
APBB2,4.47525,0.0386717,1.39623
APC,1.15531,0.144365,1.1302
APEH,0.610116,0.776005,0.114251
APEX1,0.986342,0.249452,-0.692896
APH1A,1.70541,0.0228912,-2.53333
APH1B,0.234728,0.692435,-0.198288
API5,0.508975,0.544486,-0.284333
APIP,3.55739,0.162052,-0.772804
APLP2,0.546056,0.468083,0.358478
APMAP,0.266586,0.740195,-0.149957
APOA1,1.31194,0.0461955,2.20064
APOB,2.07325,0.0278422,2.03352
APOBEC3C,2.86185,0.025185,-1.82956
APOC3,2.14218,0.137859,0.949488
APOE,0.765378,0.197009,1.02034
APOL2,3.73516,0.0189769,1.78535
APOO,0.0576582,0.943954,-0.0332688
APOOL,3.06078,0.229997,0.598381
APP,2.4243,0.169976,-0.794972
APPBP2,0.124573,0.835559,0.0998935
APPL1,0.0982785,0.913659,0.0516914
APPL2,2.60027,0.236939,-0.595201
APRT,0.96485,0.207274,-0.857406
AQP1,3.92044,0.0123157,1.97571
AQR,3.66372,0.0456091,-1.37067
ARAF,2.22723,0.177799,0.782442
ARAP1,1.39173,0.471567,0.301913
ARAP3,0.058029,0.941404,0.0341486
ARCN1,0.700231,0.66473,-0.178896
ARF3,1.20652,0.0879401,-1.60061
ARF4,1.09524,0.0995636,-1.56507
ARF5,1.85389,0.050061,-1.69962
ARF6,1.65103,0.0779442,-1.47491
ARFGAP1,3.16118,0.179097,0.727537
ARFGAP2,2.47793,0.117378,1.01919
ARFGAP3,1.78437,0.311213,0.481427
ARFGEF1,1.54056,0.1508,-0.979457
ARFGEF2,0.391599,0.73906,-0.141156
ARFGEF3,4.52898,0.00339815,3.08793
ARFIP1,2.04827,0.372251,0.387258
ARFIP2,0.789479,0.385081,-0.432475
ARFRP1,2.49929,0.210573,-0.66524
ARG2,3.27663,0.0147703,2.04769
ARGLU1,2.74536,0.0118292,-2.33064
ARHGAP1,0.758751,0.29609,-0.616937
ARHGAP10,5.56404,0.00438251,-2.48667
ARHGAP12,2.60174,0.175059,0.768108
ARHGAP17,1.97427,0.140025,0.957413
ARHGAP18,2.01849,0.181182,0.778614
ARHGAP21,0.0848328,0.937707,0.0351364
ARHGAP22,2.81599,0.024677,1.85032
ARHGAP23,2.36436,0.199538,0.703482
ARHGAP28,0.165066,0.839403,-0.0905472
ARHGAP29,3.13744,0.192198,-0.693157
ARHGAP31,0.786532,0.419581,0.387117
ARHGAP32,0.0523295,0.960233,0.0221732
ARHGAP35,3.63132,0.110511,-0.966939
ARHGAP39,3.48115,0.0238869,1.71339
ARHGAP42,2.12848,0.10856,-1.08906
ARHGAP5,2.81411,0.194904,0.698272
ARHGDIA,0.994962,0.383249,0.421871
ARHGDIB,1.43791,0.401306,0.369578
ARHGEF1,0.115256,0.878545,0.0728011
ARHGEF10,0.36045,0.763806,0.128355
ARHGEF11,1.58935,0.529154,0.251075
ARHGEF12,0.484555,0.809926,0.0970537
ARHGEF16,0.222482,0.715919,-0.175829
ARHGEF17,1.78007,0.209233,0.712587
ARHGEF18,2.66618,0.0767407,1.24535
ARHGEF2,1.23322,0.422855,-0.35417
ARHGEF26,0.42525,0.581991,0.254183
ARHGEF28,3.83969,0.0410868,1.40239
ARHGEF37,2.43874,0.0364595,1.71617
ARHGEF40,3.06499,0.227659,-0.601895
ARHGEF6,1.5896,0.343226,-0.439453
ARHGEF7,0.460667,0.594285,-0.24044
ARID1A,2.25799,0.252575,-0.571543
ARID1B,0.83967,0.622087,-0.198847
ARID2,2.64661,0.0487013,-1.45093
ARID3A,1.81984,0.0282471,2.19235
ARID4A,1.03449,0.0977513,-1.62876
ARID4B,3.88176,0.0408074,-1.41806
ARID5B,1.21637,0.265672,0.613691
ARIH1,1.7533,0.141451,-0.986581
ARIH2,2.12707,0.166353,0.832504
ARL1,1.66728,0.0684596,-1.56976
ARL10,0.847449,0.663714,0.172107
ARL14EP,1.5901,0.0805769,-1.46041
ARL15,2.42839,0.010263,2.61644
ARL2,2.55635,0.0583883,-1.41468
ARL2BP,0.471533,0.267173,-0.912319
ARL3,0.314516,0.634754,0.230424
ARL6IP5,2.37901,0.111988,1.05385
ARL6IP6,1.38511,0.183117,0.85576
ARL8B,2.78023,0.0232328,-1.90704
ARMC1,1.03735,0.216638,-0.798779
ARMC10,0.217606,0.771603,-0.133311
ARMC4,1.37347,0.198447,-0.797121
ARMC5,1.70103,0.178854,0.827652
ARMC6,2.09032,0.254333,-0.575068
ARMC8,1.35671,0.376011,-0.403938
ARMC9,1.02253,0.185029,-0.944198
ARMCX1,0.742587,0.563259,-0.246199
ARMCX2,2.25816,0.140181,0.929929
ARMCX3,1.03562,0.500699,-0.284887
ARMCX4,3.35643,0.0156466,1.98799
ARMCX5,0.13826,0.803362,-0.12259
ARMH3,0.733892,0.356264,-0.491857
ARMT1,1.37227,0.136081,-1.1049
ARNT,0.164618,0.851819,0.0835965
ARNT2,0.0765862,0.951955,-0.0258635
ARPC1A,1.09301,0.210866,-0.804565
ARPC1B,1.43044,0.180269,0.856553
ARPC2,0.755436,0.406302,0.407292
ARPC3,4.175,0.179201,0.702784
ARPC4,0.116648,0.750395,0.197196
ARPC5,0.797072,0.2643,-0.699762
ARPC5L,1.27081,0.169645,-0.947442
ARPIN,0.574306,0.39626,0.449694
ARPP19,2.49963,0.0508171,1.49952
ARRB1,5.07599,0.0118138,-1.85217
ARRDC1,0.266714,0.858845,-0.0760635
ARSA,1.88594,0.614203,0.191513
ARSB,1.5045,0.193468,-0.799492
ARSD,3.01322,0.166998,0.776214
ARSJ,0.564802,0.497039,-0.318503
ART4,1.36807,0.261209,0.607501
ARVCF,0.412912,0.589289,-0.251401
AS3MT,3.69387,0.00819362,-2.23595
ASAH1,0.0835892,0.854476,0.0981239
ASAP1,3.32306,0.0277428,-1.66919
ASAP2,2.31158,0.106507,-1.09485
ASAP3,2.40087,0.0412227,1.6507
ASB3,3.12907,0.0707561,1.22221
ASB6,1.75856,0.24518,0.613759
ASCC1,1.55655,0.169347,-0.89005
ASCC2,1.29882,0.291642,0.547048
ASCC3,0.306066,0.614853,-0.243961
ASDURF,2.73481,0.134104,0.912586
ASF1A,1.86877,0.122333,1.07529
ASH1L,0.128207,0.812735,-0.116863
ASH2L,4.53332,0.0412114,-1.34583
ASL,0.823271,0.396295,-0.411018
ASMTL,1.37909,0.226921,-0.699663
ASNS,3.39258,0.0210809,-1.80753
ASNSD1,2.04841,0.011871,2.83663
ASPH,1.00181,0.377709,-0.422616
ASPM,1.18792,0.0924758,-1.56742
ASPN,3.75643,0.00353333,-4.61197
ASPSCR1,2.08516,0.136198,0.95954
ASRGL1,2.6165,0.00605167,3.03753
ASS1,2.2914,0.0119825,-2.59114
ASXL1,2.38217,0.048788,1.52656
ASXL2,1.48913,0.227723,0.683399
ATAD1,1.0381,0.412546,0.380002
ATAD3A,0.690386,0.53895,-0.275373
ATAD3B,0.00815614,0.995016,-0.00236068
ATAD5,1.81139,0.100357,1.22654
ATAT1,3.18983,0.00736516,2.45909
ATE1,2.42671,0.173101,-0.784242
ATF1,2.75069,0.00865265,2.62743
ATF2,0.491153,0.601423,0.229803
ATF6,1.82975,0.117419,1.10702
ATF6B,0.502098,0.621603,-0.211957
ATF7,0.125324,0.897165,-0.0572684
ATF7IP,4.08232,0.174473,-0.720327
ATG101,1.18607,0.166997,-0.985172
ATG13,2.56792,0.292443,0.489907
ATG16L1,0.515141,0.577568,-0.248145
ATG2A,1.20775,0.328599,-0.483784
ATG2B,1.93614,0.174714,0.818735
ATG3,0.204033,0.871757,0.0694866
ATG4B,0.900475,0.166279,-1.12361
ATG4C,2.13658,0.272374,-0.537019
ATG5,1.44252,0.415758,-0.353599
ATG7,1.50905,0.385503,-0.386624
ATG9A,0.810579,0.463421,-0.331276
ATIC,0.434367,0.67937,0.182038
ATL1,0.478472,0.603575,-0.228493
ATL2,0.682471,0.650779,-0.1845
ATL3,1.11304,0.156354,-1.07506
ATM,2.47847,0.180701,-0.755525
ATN1,0.83363,0.342825,0.496646
ATOX1,0.912788,0.313218,-0.542117
ATP10D,2.92074,0.0182902,2.01154
ATP11B,1.83074,0.211348,-0.701446
ATP11C,2.80533,0.0578504,-1.35964
ATP13A1,0.207756,0.786056,0.125214
ATP13A2,0.2282,0.620375,0.268164
ATP13A3,2.39142,0.0965907,1.1211
ATP1A1,0.739841,0.706653,-0.151334
ATP1A2,4.50916,0.00502807,-2.40447
ATP1B1,2.50635,0.179196,-0.758988
ATP1B3,2.61463,0.0410465,-1.58299
ATP2A2,0.62528,0.527916,-0.28522
ATP2B1,0.608019,0.466246,-0.35882
ATP2B4,0.512033,0.544936,0.289061
ATP2C1,0.302827,0.705541,0.17146
ATP5F1A,2.09366,0.409648,0.345447
ATP5F1B,2.89169,0.191033,0.705198
ATP5F1C,1.23178,0.246693,-0.659826
ATP5F1D,0.827148,0.217859,0.863163
ATP5F1EP2,0.32896,0.577926,0.275264
ATP5IF1,2.42607,0.0449117,1.58947
ATP5MC2,1.72456,0.203934,0.732784
ATP5MD,1.11641,0.15656,-1.06996
ATP5ME,3.21062,0.0223066,1.81856
ATP5MF,1.75749,0.0547521,-1.68606
ATP5MG,0.921439,0.611893,0.2036
ATP5MPL,0.406422,0.42187,0.483383
ATP5PB,2.05402,0.0811892,-1.31742
ATP5PD,3.17072,0.0952784,1.06888
ATP5PF,2.80802,0.0197344,2.00678
ATP5PO,1.73944,0.174229,0.838867
ATP6AP1,1.21192,0.309649,0.519633
ATP6AP2,1.90332,0.1658,-0.857379
ATP6V0A1,4.76473,0.062449,1.17012
ATP6V0A2,2.55962,0.152274,-0.853625
ATP6V0D1,1.34281,1.32E-01,-1.13964
ATP6V1A,2.53693,0.498858,0.264932
ATP6V1B2,3.87019,0.0452178,1.35393
ATP6V1C1,0.842549,0.378401,0.449992
ATP6V1D,0.00635455,0.992432,0.00414813
ATP6V1E1,3.79797,0.0919085,1.04441
ATP6V1F,1.73419,0.111993,1.16662
ATP6V1G1,3.09368,0.00797235,2.48283
ATP6V1G2,1.66357,0.0370022,2.10594
ATP6V1H,1.55703,0.223479,0.688116
ATP7A,0.895125,0.595874,0.216506
ATP8B1,5.24011,0.00319231,3.77805
ATP8B2,0.86116,0.538198,0.261143
ATP9A,0.511204,0.688995,-0.166722
ATP9B,0.043288,0.962618,0.0210928
ATPAF1,1.01374,0.24937,0.694474
ATPAF2,1.19445,0.142495,-1.11466
ATR,1.03486,0.268044,-0.630111
ATRIP,1.24177,0.355461,-0.438247
ATRN,2.04334,0.0788565,-1.34271
ATRX,2.65937,0.0362275,-1.66422
ATXN1,1.59297,0.100992,1.27581
ATXN10,1.49757,0.180094,0.845697
ATXN1L,2.19703,0.143129,0.920947
ATXN2,2.25883,0.0526257,1.51987
ATXN2L,1.63501,0.211401,0.717977
ATXN3,0.488576,0.693496,-0.165685
ATXN7,0.987222,0.275266,0.621515
ATXN7L1,1.12097,0.24426,0.683188
ATXN7L3,1.08262,0.303118,-0.543476
AUH,2.75618,0.0267459,-1.79924
AUP1,4.54262,0.0468133,1.29301
AVEN,2.84652,0.0294559,1.74554
