Gene Symbol,WT_exp1,WT_exp2,WT_exp3,L166P_exp1,L166P_exp2,L166P_exp3,L166P_exp4,L166P_exp5,L166P_exp6
ABCA3,3.740880744,3.226603804,4.532152759,10.53795387,6.7575559,8.136199414,9.970025004,16.17403091,26.9245976
ABCA8,11.22497715,15.7164276,17.29213675,4.477810599,5.871870351,6.624744212,8.385021929,9.097869165,11.30914224
ABCB1,1.279803685,1.20978625,1.066112407,14.86883855,13.23647935,15.24475838,15.59360819,13.15094731,14.34966587
ABCB10,12.46027779,15.37928016,15.66591681,7.012005305,5.434845279,6.37251162,7.802722326,8.210207253,11.66223346
ABCB6,9.761911242,10.03133115,13.96666018,7.454762348,6.3770116,9.544039646,11.72075707,11.81758095,9.325945809
ABCB7,14.14705624,11.47599755,14.53255691,3.8797215,4.833475739,7.238972268,7.834524493,4.370674046,21.68702125
ABCB8,12.07755033,14.3682785,16.21534796,5.792992356,6.260885519,7.869928828,8.31274446,8.933900155,10.16837189
ABCC1,12.05090138,12.5092998,16.42992108,12.45333272,7.860533013,6.024917086,6.566693164,9.379704508,6.724697243
ABCC10,9.271622713,9.202962346,8.015971831,6.783813353,8.380963789,8.781357157,10.17371465,6.986051942,22.40354222
ABCC3,15.79869612,16.50008538,19.57015657,3.952575483,3.491846171,6.108147302,7.355023583,10.03491074,7.188558645
ABCC4,7.1181852,8.267019491,8.001473281,5.549431316,5.845275045,12.48248212,11.08700387,10.37864234,21.27048733
ABCD1,10.23611192,11.52352777,12.89353226,4.321452083,4.588808922,6.010983622,8.127552465,6.966830168,25.33120079
ABCD3,14.63449044,13.40467939,16.08429326,5.415898232,4.62079141,5.413059605,6.180866756,6.581493935,17.66442697
ABCE1,13.08701518,13.57065292,16.46222997,5.707217547,5.273749848,8.498818409,7.395762006,5.058756228,14.94579789
ABCF1,15.89328754,14.19501705,13.28863582,6.974009431,9.231641821,7.183491158,8.158467367,8.723194538,6.352255281
ABCF2,10.80282627,10.5425302,9.969271922,10.53813917,9.87512125,9.523587047,8.937232141,7.754130013,12.05716199
ABCF3,11.25707371,12.2653164,11.05885905,7.271161064,7.388862275,8.300706616,8.308162712,7.933968283,16.21588989
ABHD10,14.68828706,13.96840961,15.86350994,5.332494361,5.70757517,7.765107064,7.428385905,5.383413553,13.86281734
ABHD11,9.359981114,8.661193018,7.306087168,12.81901154,10.41059902,11.46468613,10.81511314,11.10672037,8.056608508
ABHD12,17.86853718,21.52425823,22.35309131,3.320130062,3.194174884,3.465307354,3.789826742,4.306461678,10.17821257
ABHD13,4.801679502,5.393220973,4.780735351,12.03484943,12.85661177,12.83496625,13.37366295,16.87984708,7.044426696
ABHD14B,11.56377735,11.40327157,16.25877216,5.002593356,4.325842034,9.263525638,10.68954426,12.87474336,8.617930268
ABHD15,7.914734502,7.250359191,6.727298393,16.6827233,14.93974416,9.563576645,9.975031663,11.2141473,5.732384851
ABHD16A,9.454249142,9.97787138,10.43134559,9.027015384,7.043969487,8.60542366,8.671454446,8.418333527,18.37033739
ABHD17A,10.30122613,10.03696481,13.43607672,8.149197207,6.57358989,9.552876189,10.45473508,10.32080705,11.17452693
ABHD17B,7.496545258,4.966132487,2.984861574,15.45244048,12.88232105,13.84830278,12.26616317,13.25211756,6.851115638
ABHD4,7.236653303,6.891663994,6.656205778,15.84771208,11.81380731,7.73034755,8.341566266,11.47382274,14.00822098
ABHD5,5.76351923,5.353469338,4.857023642,10.86324194,9.400817914,12.71498316,14.7784442,12.62038101,13.64811957
ABHD6,11.77845424,14.17984384,15.0202781,3.438129976,3.53022376,7.75118832,8.331084566,9.625986523,16.34481068
ABI1,7.474883695,6.442191786,6.44137344,13.59744793,13.78174581,11.86046741,10.61807237,12.73422336,7.049594197
ABI2,6.768112996,6.296878587,5.429382882,16.37797219,16.51991651,10.78839868,10.50010382,12.58523596,4.73399837
ABL1,11.12366774,12.37497049,9.893217644,7.801870307,12.36846247,7.970566638,7.007708878,8.573077743,12.88645809
ABL2,6.498075458,5.886038316,5.004899871,17.42568355,14.64545509,9.661555739,10.66617642,14.1539785,6.058137056
ABLIM1,1.157978215,1.111954478,0.990056621,15.21268275,19.97778408,12.70143537,15.52792046,17.21793707,6.102250961
ABR,9.326277175,11.30401336,13.63360377,7.759041766,6.615258276,9.051411222,9.083775485,9.865077492,13.36154146
ABRACL,2.523346373,2.936107258,2.962163997,23.70549717,17.59685519,8.786257388,11.93446581,14.45350004,5.101806771
ABRAXAS1,9.901093999,9.276369197,2.209750339,18.64547189,15.30243695,9.698386534,8.153190125,12.36013887,4.453162091
ABRAXAS2,9.832786536,9.389525448,9.233470802,12.19124925,10.61375279,8.298498059,9.505513331,11.10741846,9.82778533
ABT1,9.695324842,9.875932748,9.953193364,10.26735834,10.50306801,11.74592304,8.640271665,8.576699005,10.74222898
ABTB2,7.138499886,5.940624068,5.878781704,14.12865483,10.14563213,9.729762289,13.39174226,13.67739141,9.968911423
ACAA1,4.872078415,4.944880571,6.129907381,11.29095477,9.812147409,9.114851112,13.89425682,17.59516462,12.34575889
ACAA2,7.696001456,6.302585309,5.647034708,10.11274008,10.73861827,14.27475714,14.04506364,11.68958007,9.493619336
ACACA,9.6632497,10.42592034,13.58572973,9.242053913,7.24745772,9.252264738,8.942841404,8.692425812,12.94805665
ACAD10,13.79232379,14.19658907,13.57714168,6.162172416,6.963363158,7.630333872,8.053760345,9.818637251,9.805678415
ACAD11,10.11043342,9.80573217,9.702334993,6.279824071,5.972274871,10.72246706,9.539647955,11.38790484,16.47938062
ACAD8,8.377412251,8.334402604,9.194457931,10.33495298,8.8437545,9.615119376,10.1054442,11.03023922,14.16421694
ACAD9,13.55642618,12.8915808,20.28281655,4.351558268,4.648811432,8.156696264,7.896193819,6.174023025,12.04189367
ACADM,11.71721781,10.38076349,16.37632711,6.20052956,6.934708912,9.289497975,7.601482788,5.891781877,15.60769048
ACADS,7.230264226,7.766227854,7.531708028,10.16187421,9.542534188,10.58058226,13.49297172,12.75594175,10.93789577
ACADSB,11.33485225,12.14329783,12.6311751,7.253169752,7.433790976,8.874545214,9.926422074,7.240485849,13.16226095
ACADVL,13.3037744,12.5074648,12.15066305,6.500039953,6.303447623,8.463103908,8.799347202,7.841488911,14.13067014
ACAP2,10.02985484,9.993131724,10.29328508,9.824020142,9.51778668,9.473046151,11.08425458,10.03884703,9.745773774
ACAP3,9.607970477,9.331299932,8.206513598,10.59161012,8.636628812,10.11140045,11.59525579,12.79268569,9.126635136
ACAT1,8.413055256,7.665657399,7.934083277,8.930400372,10.65027286,13.64053592,12.41305955,9.462535222,10.89040014
ACAT2,13.01604691,5.703795434,21.79436525,12.50502909,8.964480188,6.378255847,5.731734597,7.907480195,7.998812479
ACBD3,10.9209332,11.33330907,11.60604504,8.716704323,7.919339818,9.638360156,9.563821254,7.890235569,12.41125157
ACBD5,7.36459301,5.939379055,3.950779657,14.58902554,15.11053164,12.62651396,11.92156296,10.97867716,7.518937003
ACBD6,10.50228006,9.522299562,9.416832267,10.04305046,8.996285834,10.76712771,11.02607881,10.66383053,9.062214758
ACD,8.822217202,8.275202363,7.555764702,13.04553288,10.11262928,11.60975944,11.44639447,13.54252772,5.589971944
ACE,30.48753748,23.9267981,21.98663928,2.618056918,0.997974231,3.028761325,0.96917188,1.514743264,4.470317516
ACIN1,13.8095475,14.77121278,13.88422223,7.901983437,7.376190033,8.096596515,8.393755664,10.97405857,4.792433275
ACKR3,5.756055716,7.500373029,4.74723635,14.4277506,15.39589179,13.36559611,10.31801958,10.20352271,8.28555412
ACLY,7.448120848,7.337632278,9.967242747,11.50906676,8.489764099,10.1847822,10.46063172,10.2978723,14.30488705
ACO1,11.36982331,12.27725034,12.10668618,7.172326796,6.227122698,8.523383725,9.205234397,8.508279952,14.60989259
ACO2,9.678517349,9.290094016,10.21842761,9.756890263,9.503989239,11.33717836,10.93173999,10.06709353,9.216069642
ACOT1,10.706566,10.93216939,25.23723589,6.451398461,5.404341982,5.157722179,7.129145507,7.827410168,11.15401043
ACOT11,21.19858975,25.46763639,23.79816218,1.588485892,1.302238731,4.65828318,3.160322042,3.222322299,5.603959543
ACOT13,14.0456069,14.53156512,15.71668248,2.585115917,3.092944871,6.236315766,6.888011274,4.213301062,22.69045661
ACOT7,6.444656308,6.763862768,8.153957224,9.745971661,8.881700634,12.52258606,13.60941108,11.41095962,12.46689464
ACOT9,10.66451265,11.11923807,11.93991955,7.728515095,8.046407219,10.56240287,9.455338915,7.779723793,12.70394183
ACOX1,10.80631503,10.350473,12.27712384,6.586985005,7.245408954,11.10579074,9.221376728,7.426311013,14.98021569
ACOX2,5.804059596,5.525400889,4.878326669,19.33549669,13.85497002,10.83117298,9.74935275,13.78969799,6.231522419
ACOX3,6.301608917,5.192771133,5.593061265,18.34229323,16.36316359,8.273830683,11.29698035,10.26374069,8.372550134
ACP1,8.02403723,7.568063097,8.176163415,9.508720195,9.443906355,11.32463219,13.14644774,14.06712602,8.740903756
ACP2,14.64595491,17.5799289,15.31908614,3.713171266,4.643781416,6.3844767,5.537263839,4.570154137,17.60618269
ACP6,8.185924616,8.331094023,10.03194446,10.58881073,9.241868813,10.18123301,11.57308061,11.15017984,10.7158639
ACSF2,13.43379441,12.36007934,8.611285907,6.076701906,7.092337816,9.749760438,10.70910028,8.304462626,13.66247727
ACSF3,8.014895291,8.223710552,9.052948058,12.12167786,9.107844978,9.0808264,11.69876241,12.56365554,10.13567892
ACSL1,11.75927579,12.12467932,12.42026808,5.803533754,6.367141977,8.81563066,10.04886355,8.272798496,14.38780836
ACSL3,11.76870696,13.60048217,17.97296742,7.316282008,6.644360195,7.050020623,7.231951311,7.816239352,10.59898996
ACSL4,9.012307942,10.15315281,12.19962256,4.03097258,5.348854921,8.960188708,8.47773725,8.45433251,23.36283073
ACSS1,22.24679697,20.91956648,17.64248989,4.644360427,5.007486849,4.388054856,5.12823548,5.841376808,4.181632236
ACSS2,14.79364624,15.04052075,14.81283482,7.998750028,6.493442723,6.806620388,7.09905026,6.004851644,10.95028315
ACSS3,16.03347332,14.56649168,13.85800811,4.835181839,5.51840308,8.317135414,7.662143894,5.814777593,13.39438506
ACTA2,7.948201268,7.973273621,8.638375736,3.358394036,3.974233772,8.444719178,9.923605448,5.855463054,33.88373389
ACTBL2,10.54857034,12.02074847,5.790866653,12.82305015,11.47817178,8.765805273,10.55742353,12.13754707,5.877816749
ACTC1,7.474767986,7.188657882,6.887011257,11.25966159,10.74077567,11.64965948,11.87876415,8.885135504,14.03556647
ACTG1,9.137356349,9.470052334,8.435970283,11.28701672,10.03785367,8.468018311,9.513463921,10.26299288,13.38727552
ACTL6A,15.46786027,17.20225514,17.67423445,5.729687931,5.839710823,7.579059957,6.578358289,6.262747834,7.6660853
ACTN1,3.670178096,3.3570067,5.502933441,9.604533299,10.56251155,13.22590032,15.93687661,14.25288516,13.88717482
ACTN4,10.88255259,11.09106799,7.297181163,8.70043352,8.897184964,12.55943385,9.726499445,7.821573369,13.02407311
ACTR10,8.579069713,10.78074797,16.82038245,6.67285129,7.145074224,6.530531327,8.083329916,6.463848295,18.92416482
ACTR1A,9.204809211,8.10985161,17.92666268,6.965809306,7.145596459,8.913283144,8.85593276,7.60513573,15.2729191
ACTR1B,10.48607464,8.976296713,7.50331451,8.362660615,9.509255981,12.29943865,12.24620536,7.846033904,12.77071963
ACTR2,6.377044476,4.619853091,5.879058623,13.36449406,9.783589877,10.57742999,12.35829998,15.22667367,11.81355624
ACTR3,10.71924992,10.77872483,8.978041251,8.05187002,8.053720769,9.555856824,10.24614612,7.677825634,15.93856463
ACTR3B,1.988632324,1.458739446,1.430528795,4.787880304,4.081899546,13.79889761,22.87417974,37.6453941,1.93384814
ACTR5,10.15159817,10.32079015,12.37810149,12.07704064,9.646998877,8.939630459,8.751745666,11.61561479,6.118479754
ACTR6,6.137445859,8.419468458,12.72064744,13.42018794,10.44578088,6.545120442,7.861728225,13.98246859,10.46715217
ACTR8,12.83461831,13.08621624,18.33062967,6.330154518,9.393353693,8.781535699,5.975482777,5.231674166,10.03633493
ACTRT1,19.94323499,10.65606667,7.974706914,1.886904317,3.122599798,10.78148736,9.042733289,4.394248569,22.1980181
ACVR1,11.54245561,13.08583982,17.22302611,6.035541107,4.95498927,7.591226423,8.00956315,7.418935095,14.1384234
ACY1,5.150603177,5.623500091,7.480932214,5.573119215,16.21795082,12.44408035,12.7906122,17.37033697,7.348864955
ACYP1,10.45391467,10.64206997,12.49538665,7.655700325,7.863945199,8.928613783,9.337834981,9.759812008,12.86272242
ACYP2,3.483261948,3.361662356,4.529264251,11.2307243,11.93728069,14.70340319,15.24997566,14.51564544,10.98878217
ADA,7.9639822,7.40098697,7.540307,10.79213422,11.27850817,10.61069089,11.17057864,9.740696007,13.5021159
ADAL,12.87749731,14.35231117,16.28008428,4.591052789,4.591822138,7.094095238,8.155958018,6.221522224,15.83565684
ADAM10,15.1306051,13.7921272,11.84205079,9.555501645,8.867283904,6.252080589,6.308001713,7.553924867,10.6984242
ADAM12,2.617579817,1.080429932,1.596794649,22.74045584,18.85079147,10.02199502,12.78938944,15.2854782,5.017085631
ADAM15,8.703307347,9.518265518,9.405516252,7.868425995,6.849089804,11.50710101,10.43878939,8.195697528,17.51380715
ADAM17,6.48032365,6.266730824,7.45666975,15.44693488,13.31307774,9.426501511,10.50906009,12.44291399,8.657787564
ADAM19,3.693934625,3.227438427,2.843730014,18.8699136,21.15125483,10.37945879,11.02008638,13.99967032,4.814513016
ADAM9,6.422642061,5.648359577,3.672807128,14.38344528,13.57614439,11.57967818,12.26395258,13.72458025,8.728390544
ADAMTS1,11.04486406,12.03610034,11.03544222,4.420082392,6.547679957,12.43196657,11.29918046,7.001074803,14.1836092
ADAMTS12,1.2219762,1.729051206,1.662655141,16.69580002,18.77262544,14.83297177,15.95314776,13.6047099,5.527062559
ADAMTS15,21.64645556,19.91162781,21.09927474,3.007802704,2.562573829,4.123765256,6.018152366,7.838716904,3.79163083
ADAP1,3.112432097,3.214345667,2.358885671,18.86746585,13.6537532,11.1377578,13.41846879,18.53519102,5.701699901
ADAR,9.286294374,9.133597836,8.402383907,11.63239296,11.96251644,12.36195633,10.72497239,9.706703285,6.789182472
ADARB1,14.15628611,13.24911135,9.097008433,12.84851763,11.43236809,7.906269489,7.973828762,9.385594326,3.951015802
ADAT1,6.152984621,5.707871829,5.417329409,14.0961907,11.55733356,11.52290065,14.02962077,14.97474484,6.541023627
ADAT2,13.0981935,13.71363029,11.39189673,8.012471997,6.736274146,8.350154434,8.795172744,11.52330278,8.37890338
ADCK1,5.484245136,7.881202538,8.830479987,11.19781141,9.885624237,8.483842681,10.49438001,12.85089992,14.89151408
ADCY3,11.78332341,12.87860331,12.53178468,10.91798086,9.842994348,8.41996616,8.148869591,9.83803436,5.638443286
ADCY5,14.3645557,13.34140914,11.67689579,10.99777122,9.837002656,7.050945568,7.251496724,9.263876575,6.216046618
ADCY6,9.36649273,10.40676465,15.7053779,8.562750296,8.044560503,9.561778009,8.354189074,10.14301597,9.855070866
ADCY7,10.4283101,12.10212193,13.68993721,6.700706327,10.25004197,9.47552154,9.234323289,7.232396048,10.88664159
ADCY9,6.740900553,6.614662951,6.429979879,14.61149402,14.02979141,11.43353445,10.77703345,14.07608154,5.286521755
ADD1,12.86245823,11.49349141,12.23187108,10.9075697,11.50183764,7.801821617,7.618738095,9.123853964,6.458358262
ADD2,1.229486515,1.312149662,1.987507155,22.2055072,20.65445654,13.36438243,10.8867366,14.07289334,4.286880564
ADD3,11.26736699,10.67573231,11.86593552,10.99752012,9.911351825,8.760929056,10.03384084,10.66727621,5.820047134
ADGRA2,23.01310827,21.78734505,18.00313058,1.707393524,4.120268398,4.798191928,5.257043275,7.52227244,3.79124654
ADGRE5,7.020912539,9.676753799,10.30374719,9.408235168,5.264344062,10.06541444,11.65823341,16.01733128,10.58502811
ADGRG6,3.594055044,4.073227202,5.452940646,14.36286919,13.22847142,10.90685801,12.8043478,14.85692645,10.72030425
ADGRL2,17.04202817,19.17688048,21.5213505,4.24466436,5.975790668,6.115817575,5.049570612,4.428710918,6.445186722
ADGRL3,4.587137629,4.554352928,4.650931602,16.21255851,18.94051005,12.98220313,8.435785748,13.00486746,6.631652945
ADH1B,22.74734213,23.93344506,30.14619365,0.889870582,0.853782147,2.556296185,3.375578696,3.592645919,1.904845627
ADH5,12.76200319,12.21348841,15.6198205,4.368839496,5.701354979,10.15014885,7.935785333,5.010786578,16.23777267
ADI1,10.96729984,5.603732627,11.12335096,12.44825473,11.39785443,12.45093906,8.7222449,7.161142001,10.12518145
ADK,13.1735805,12.71715764,17.45378808,4.26416198,3.832832705,7.467278408,7.457324079,9.264159052,14.36971755
ADNP,12.41578176,11.77658822,10.71536332,8.849028628,11.96502648,10.22276559,9.02632123,9.309522534,5.719602246
ADO,7.486586909,6.566574594,5.586527399,10.67666099,12.45529844,13.86971414,13.54854274,11.47709823,8.332996555
ADPGK,9.758483806,13.50858369,13.31905989,9.451781832,6.694853672,6.870341148,8.488992037,8.366382892,13.54152104
ADPRHL1,8.714876615,10.73210504,12.51068468,5.095372489,5.34518983,11.14369457,14.55524422,17.83411001,4.068722537
ADPRS,5.703912931,5.816524491,6.016872363,16.70123805,12.22053677,10.8257697,12.35687393,13.25643301,7.101838754
ADRM1,8.800466537,8.753487241,11.96831538,12.57869128,11.00151582,8.408816002,8.278467066,10.85880439,9.351436292
ADSL,9.936752005,11.46715846,12.18908265,8.376517105,6.75253574,9.323367682,9.274891179,10.72221377,11.95748141
ADSS1,9.065194633,10.21139112,13.44013352,9.413507213,10.27758161,11.3556109,9.539088899,7.305984232,9.391507871
ADSS2,9.263802365,7.408147001,9.383828882,11.68765473,10.95937929,11.0473501,9.998752988,9.699250918,10.55183372
AEBP1,12.77223344,11.46635253,23.62825411,5.016055368,5.996272456,9.704460223,8.113357964,7.796768286,5.506245611
AFAP1,3.616101285,3.911538665,3.33262386,16.31782933,17.12299322,12.94464439,10.92897265,12.98656535,8.83873125
AFAP1L2,23.42965791,19.54323296,15.46672115,3.301522896,5.565279062,5.922583541,6.289596825,6.801528803,3.679876851
AFDN,8.833317126,10.12246402,14.4396678,9.548616555,8.059318076,8.315124456,11.85526907,11.75745477,7.068768129
AFF1,3.869912888,5.378084579,57.00723691,4.297970502,2.394043794,3.995750697,3.609480015,3.633722795,5.813797824
AFF3,5.038040947,5.897197674,4.481258227,6.854049829,13.88998977,14.24751164,16.05603732,18.96250713,4.573407458
AFF4,8.207119517,7.90433402,6.205469985,12.2169866,13.77708266,11.61541337,10.86539529,12.86531018,6.342888372
AFG1L,15.51756553,15.56947901,18.24567834,0.80997187,1.529257974,4.977836568,3.994004168,1.007852285,28.34835426
AFG3L2,9.477711027,8.825207809,8.929869058,12.73072188,10.31734701,10.1612734,10.5236662,10.6277098,8.406493819
AFTPH,6.247837672,6.50379799,4.642858247,14.43359709,13.16070548,10.75158967,12.70093632,13.56612577,7.992551752
AGA,6.50447187,5.965935127,4.998476476,18.19816191,14.88766372,8.439049647,10.01675532,12.4679624,8.521523529
AGAP1,7.088374915,5.93208225,5.379955953,16.37623767,12.66450236,7.972364535,9.646999751,19.50233694,5.437145629
AGAP3,5.341380307,5.460969579,5.019344542,17.82352037,16.86011506,10.10997028,11.32460601,11.85097115,6.209122699
AGFG1,14.33951322,15.38764193,14.47522577,5.959983847,6.746478293,5.94159716,6.249139714,5.283693685,15.61672639
AGFG2,5.258624647,4.40167921,2.665033979,12.82053715,12.56585971,13.93222387,13.02205123,16.19406936,9.139920847
AGGF1,10.72941945,9.938806955,10.74760039,8.524605536,14.5451448,10.56934273,9.304134322,7.46457463,8.176371187
AGK,12.72526467,15.80996551,19.21865124,5.057919846,4.634648103,4.56342903,5.434475687,7.57319186,14.98245405
AGL,11.54682671,12.51860853,9.768072412,10.59408852,10.23138348,7.945970174,8.212901761,9.828904398,9.35324401
AGO1,13.11387257,14.16323541,14.20541534,6.92044946,6.46515172,6.856957808,9.044363216,11.77322779,7.457326684
AGO2,12.3041714,14.66833425,17.51427025,6.582083169,5.474818081,7.945861765,8.422736408,6.647132711,10.44059197
AGO3,11.30181012,10.34182338,8.788404614,13.8913407,13.09710944,7.852589482,8.85764451,10.85908565,5.0101921
AGPAT1,23.87448514,29.35301196,6.76696306,1.872845763,3.738639365,3.909114909,3.79421482,4.627772223,12.06295277
AGPAT2,8.178810486,8.083056541,7.785050317,13.29969708,12.61508713,9.487949169,10.91847131,14.05825432,5.573623644
AGPAT3,10.74507892,13.88813132,23.54777099,2.002191624,2.054767515,4.217354586,5.397720832,4.701404373,23.44557983
AGPAT5,13.10168697,13.02482974,8.807761888,4.192463526,4.921025078,11.76925859,11.33883176,12.28053758,10.56360488
AGPS,7.655323657,7.653475743,9.712503997,8.70935637,8.016291706,14.58826748,12.75928041,11.25396564,9.651535005
AGR2,4.351657002,3.592162343,3.338626662,9.623924826,11.94945728,16.47456604,14.81844747,10.95656856,14.89458981
AGRN,5.498851691,5.462257344,5.418569557,16.96875374,12.97571233,10.52760345,10.29519129,11.47680936,11.37625124
AGTPBP1,7.921699228,7.063356395,5.560869212,11.05864795,9.642878304,15.3385269,14.62468246,10.4868126,8.302526954
AGTRAP,6.327786987,7.20855242,10.43802854,12.6999005,9.977076692,9.252146347,10.5636387,13.90041401,9.6324558
AHCTF1,11.660671,11.28105743,9.717589885,10.37615847,11.73433922,10.77403568,9.198029007,9.310892282,5.947227026
AHCY,5.076279316,5.147223936,5.331638843,13.23176362,10.83155927,10.2465372,13.29985978,15.97940733,10.85573071
AHCYL1,10.19522653,9.871160402,11.22545333,10.13113733,10.02899532,8.192657934,9.548777765,11.99210106,8.814490331
AHCYL2,6.553780611,7.160883622,11.12312483,16.41047604,14.0957106,7.365339616,8.609276057,12.87095609,5.810452538
AHDC1,11.1110544,10.06792641,8.823241487,14.92841273,14.05336115,7.179502801,7.991013789,11.72794025,4.117546978
AHNAK,10.18108172,8.931489432,10.55712833,10.06067943,13.56328279,9.056843606,9.381430701,10.47616525,7.791898738
AHNAK2,9.252873023,8.392824226,7.318728374,11.915039,14.91861604,11.38206565,9.870141698,10.03350538,6.9162066
AHR,14.22823491,19.2291056,19.89098395,3.654466893,4.160060793,5.74910924,5.601129766,7.737426041,9.749482804
AHRR,4.153964079,4.06073519,7.001198481,10.47670407,9.55994763,12.18828492,14.78107087,20.1586462,7.619448565
AHSA1,11.89564559,11.99824536,14.18634965,6.525120024,6.861899187,8.632625419,8.4921679,6.474857839,14.93308902
AIDA,12.93479621,14.5084574,9.687993342,5.500357077,8.048660833,9.182856402,9.140535008,6.834877703,14.16146603
AIFM1,8.099830527,7.77532847,8.102026628,9.190420181,9.490028652,11.90237179,12.25139345,9.320389123,13.86821118
AIFM2,7.612371996,12.18111409,18.47574811,0.420066611,4.640819008,3.482679979,3.889459315,3.004803847,36.29293704
AIMP1,13.93503878,11.96809011,8.000280757,5.743385846,11.53736183,9.904933831,7.868064225,5.666706116,15.3761385
AIMP2,11.09584654,11.30782865,11.17661495,6.19195293,7.4040226,10.74043345,10.38390047,8.580513266,13.11888714
AIP,9.139488605,8.001262246,5.685206121,10.10084157,10.18206819,13.37917508,13.87079751,13.01554743,6.62561324
AJM1,4.109927126,3.352149101,3.541062975,19.44973175,15.03535767,9.079407537,12.19061985,18.44811405,4.793629937
AJUBA,5.642754117,5.485713084,4.688365376,20.74239613,16.73772868,8.153361606,9.560829559,15.74184093,3.247010514
AK1,7.682185222,6.700654614,5.414264539,10.36631886,12.63255811,12.88393171,14.57568804,11.33339336,8.411005548
AK2,6.96937731,6.154601393,5.55847742,10.53703704,13.71806065,13.90820701,13.88630919,10.85492113,8.413008852
AK3,9.833879161,9.627985856,9.453662828,9.456821265,8.771761578,8.879654641,9.5185986,9.731950008,14.72568606
AK4,5.000445499,4.469825673,4.672483291,6.589935122,7.256868455,9.154602598,16.28375308,8.5849162,27.98717008
AK5,12.51861265,12.27045856,10.58462318,6.505763528,7.234272571,13.47320534,10.85604987,6.232852912,10.32416139
AK6,6.993451914,6.346674682,5.408437161,12.70871536,11.0910017,13.81548762,13.84764044,10.085867,9.702724122
AKAP1,11.03662121,8.895753341,2.969542226,16.99984077,15.22152369,8.694562578,11.0090438,11.02207824,4.151034144
AKAP10,6.473694483,7.074154812,8.563815548,11.81856614,9.859135047,10.93146021,11.84517857,14.7976992,8.636295997
AKAP11,11.19031781,13.05750831,14.53178603,6.202445759,6.100494365,7.923399482,8.368703505,10.5801046,12.04524014
AKAP12,8.050836229,7.859344303,9.939239015,13.55766823,13.38818013,10.27571327,8.994437091,9.770940705,8.163641022
AKAP13,9.00379051,8.976526269,7.519766513,11.87258056,13.25940392,9.836981759,11.43152471,11.64887249,6.450553279
AKAP17A,17.08543559,17.98624726,17.87591489,4.415901112,5.580178255,6.072909383,5.176321875,5.267482516,10.53960913
AKAP2,2.345275313,2.292089272,2.480167255,16.86375838,14.27662162,10.27787347,14.00858624,18.82124554,8.634382919
AKAP7,16.09409828,10.380445,10.17606173,2.735155514,6.001155806,10.24569565,8.59190528,13.66774681,12.10773593
AKAP8,8.571968677,8.36992597,8.405610991,23.0161209,13.08848596,7.622854882,6.188360883,10.05742567,4.679246063
AKAP8L,9.61145034,9.832506059,9.697780515,14.1976425,12.1884748,8.686765557,8.520104017,10.00661247,7.258663744
AKAP9,8.254705785,8.46199202,7.158278537,10.23974367,10.37192576,11.89222506,12.11011856,11.39149408,10.11951652
AKIRIN2,3.412121465,3.036862003,3.003128023,22.94286711,18.97433552,12.38235032,10.69027029,11.59514523,3.962920048
AKR1A1,11.0763175,11.09800064,11.71713218,7.852675025,7.699974115,8.102988122,9.266578579,9.252007237,13.9343266
